LessonID,TeacherID,StudentID,Time
1,1,647,1367424000
2,1,683,1367425200
3,1,3086,1367426400
4,1,687,1367427600
5,1,63,1367428800
6,1,61,1367430000
7,1,67,1367510400
8,1,709,1367511600
9,1,339,1367512800
10,1,687,1367514000
11,1,62,1367515200
12,1,191,1367517600
13,1,679,1367856000
14,1,88,1367857200
15,1,220,1367858400
16,1,62,1367859600
17,1,339,1367860800
18,1,666,1367862000
19,1,218,1367942400
20,1,90,1367943600
21,1,340,1367944800
22,1,88,1367946000
23,1,62,1367947200
24,1,643,1367948400
25,1,473,1367949600
27,1,767,1368028800
28,1,186,1368030000
29,1,593,1368031200
30,1,682,1368032400
31,1,62,1368033600
32,1,643,1368034800
33,1,218,1368036000
34,1,68,1368115200
35,1,1002,1368116400
37,1,61,1368118800
38,1,88,1368120000
39,1,666,1368121200
40,1,218,1368122400
41,1,403,1368201600
42,1,612,1368202800
43,1,612,1368204000
44,1,61,1368205200
46,1,666,1368207600
47,1,743,1368208800
48,1,975,1368460800
50,1,220,1368463200
51,1,546,1368465600
52,1,643,1368466800
53,1,489,1368547200
54,1,490,1368548400
55,1,154,1368549600
56,1,88,1368550800
57,1,666,1368553200
58,1,973,1368633600
59,1,1062,1368634800
60,1,808,1368636000
61,1,186,1368637200
62,1,546,1368638400
63,1,600,1368639600
64,1,218,1368640800
66,1,1061,1368721200
67,1,220,1368722400
69,1,546,1368724800
72,1,975,1368806400
73,1,1061,1368807600
74,1,546,1368811200
75,1,666,1368812400
76,1,743,1368813600
77,1,975,1369065600
78,1,1062,1369066800
81,1,546,1369070400
82,1,106,1369071600
83,1,975,1369152000
84,1,489,1369153200
85,1,490,1369154400
86,1,154,1369155600
87,1,546,1369156800
88,1,106,1369158000
89,1,975,1369238400
90,1,768,1369239600
92,1,186,1369242000
94,1,106,1369244400
99,1,975,1369411200
100,1,1061,1369412400
101,1,548,1369413600
103,1,106,1369417200
106,1,106,1369676400
107,1,549,1369758000
109,1,972,1369761600
111,1,429,1369845600
112,1,972,1369846800
114,1,5,1369930800
115,1,106,1369935600
116,1,106,1370022000
117,1,127,1370448000
118,1,125,1370534400
119,1,125,1370620800
120,1,125,1371139200
121,1,125,1371225600
122,1,125,1371657600
123,1,125,1371744000
124,1,125,1371830400
125,1,125,1372262400
127,1,354,1367397600
128,1,414,1367398800
129,1,865,1367400000
130,1,787,1367401200
131,1,568,1367402400
132,1,569,1367403600
133,1,570,1367404800
134,1,571,1367406000
135,1,572,1367407200
136,1,573,1367408400
137,1,13,1367409600
138,1,574,1367410800
140,1,182,1367413200
141,1,575,1367415600
142,1,576,1367416800
143,1,103,1367419200
144,1,414,1367485200
145,1,427,1367486400
146,1,570,1367487600
147,1,580,1367488800
148,1,581,1367490000
149,1,582,1367491200
150,1,425,1367492400
151,1,13,1367493600
152,1,429,1367494800
153,1,583,1367496000
154,1,162,1367497200
155,1,162,1367498400
156,1,182,1367499600
157,1,433,1367502000
158,1,432,1367503200
159,1,853,1367505600
160,1,414,1367830800
161,1,589,1367832000
162,1,758,1367833200
163,1,737,1367834400
164,1,534,1367835600
165,1,568,1367836800
166,1,569,1367838000
167,1,108,1367839200
168,1,108,1367840400
169,1,162,1367841600
170,1,162,1367842800
171,1,590,1367844000
172,1,591,1367845200
173,1,243,1367846400
174,1,793,1367847600
175,1,414,1367917200
176,1,258,1367918400
177,1,758,1367919600
178,1,534,1367920800
179,1,535,1367922000
180,1,735,1367923200
181,1,305,1367924400
182,1,429,1367926800
183,1,536,1367928000
184,1,162,1367929200
186,1,591,1367931600
187,1,282,1367932800
188,1,504,1367935200
189,1,414,1368003600
190,1,589,1368004800
191,1,758,1368006000
192,1,1012,1368007200
193,1,598,1368008400
194,1,234,1368009600
195,1,506,1368010800
196,1,797,1368013200
197,1,797,1368014400
198,1,599,1368015600
199,1,166,1368016800
200,1,591,1368018000
201,1,793,1368020400
202,1,104,1368021600
203,1,1003,1368022800
204,1,28,1368024000
205,1,414,1368090000
206,1,725,1368091200
207,1,758,1368092400
208,1,534,1368093600
209,1,735,1368094800
210,1,504,1368096000
211,1,234,1368097200
212,1,797,1368098400
213,1,797,1368099600
214,1,808,1368100800
215,1,521,1368102000
216,1,753,1368103200
217,1,591,1368104400
218,1,431,1368105600
219,1,793,1368106800
220,1,35,1368108000
221,1,36,1368109200
222,1,28,1368110400
226,1,737,1368180000
227,1,1085,1368181200
228,1,725,1368182400
229,1,568,1368183600
230,1,569,1368184800
232,1,810,1368187200
233,1,754,1368189600
234,1,591,1368190800
235,1,166,1368192000
236,1,793,1368193200
237,1,603,1368435600
238,1,725,1368438000
239,1,737,1368439200
240,1,534,1368440400
241,1,535,1368441600
244,1,604,1368445200
245,1,605,1368446400
246,1,810,1368447600
247,1,590,1368448800
248,1,591,1368450000
249,1,606,1368451200
250,1,754,1368452400
251,1,412,1368522000
253,1,474,1368524400
254,1,735,1368525600
255,1,306,1368526800
256,1,305,1368528000
259,1,808,1368531600
260,1,604,1368534000
261,1,605,1368535200
262,1,591,1368536400
263,1,282,1368537600
264,1,285,1368608400
265,1,737,1368609600
266,1,589,1368610800
267,1,610,1368612000
269,1,234,1368614400
271,1,604,1368620400
272,1,605,1368621600
273,1,591,1368622800
274,1,603,1368625200
275,1,1003,1368627600
276,1,28,1368628800
277,1,412,1368694800
278,1,1014,1368696000
280,1,534,1368698400
281,1,735,1368699600
282,1,234,1368700800
283,1,163,1368702000
284,1,797,1368703200
285,1,797,1368704400
286,1,754,1368705600
287,1,604,1368706800
288,1,605,1368708000
289,1,591,1368709200
290,1,758,1368711600
291,1,28,1368715200
292,1,412,1368781200
294,1,1085,1368783600
295,1,737,1368784800
296,1,429,1368786000
297,1,241,1368787200
298,1,604,1368788400
299,1,605,1368789600
302,1,603,1368798000
305,1,737,1369044000
306,1,534,1369045200
307,1,603,1369046400
310,1,604,1369051200
311,1,605,1369052400
312,1,590,1369053600
313,1,613,1369054800
314,1,243,1369056000
315,1,290,1369057200
318,1,735,1369130400
321,1,534,1369134000
322,1,535,1369135200
323,1,604,1369138800
324,1,605,1369140000
325,1,603,1369141200
327,1,290,1369143600
328,1,758,1369144800
329,1,615,1369213200
330,1,737,1369214400
331,1,589,1369215600
334,1,234,1369219200
335,1,604,1369225200
336,1,605,1369226400
337,1,603,1369228800
339,1,35,1369233600
341,1,1014,1369300800
343,1,534,1369303200
344,1,735,1369304400
345,1,234,1369305600
347,1,797,1369308000
348,1,797,1369309200
349,1,758,1369310400
350,1,604,1369311600
351,1,605,1369312800
352,1,534,1369315200
353,1,535,1369316400
355,1,35,1369320000
356,1,150,1369386000
357,1,589,1369387200
358,1,1085,1369388400
359,1,737,1369389600
360,1,604,1369393200
361,1,605,1369394400
363,1,606,1369645200
364,1,737,1369647600
366,1,549,1369651200
367,1,604,1369652400
368,1,605,1369653600
372,1,294,1369735200
376,1,758,1369741200
377,1,604,1369743600
378,1,605,1369744800
379,1,26,1369746000
380,1,305,1369748400
381,1,306,1369749600
384,1,1014,1369819200
388,1,234,1369824000
391,1,26,1369827600
396,1,177,1369904400
398,1,234,1369910400
402,1,604,1369916400
403,1,605,1369917600
404,1,26,1369918800
406,1,150,1369990800
407,1,252,1369992000
408,1,1085,1369993200
409,1,787,1369994400
